datetime,water_level_STND_meters
10/1/2016 0:00,7.402
10/1/2016 0:06,7.414
10/1/2016 0:12,7.381
10/1/2016 0:18,7.37
10/1/2016 0:24,7.345
10/1/2016 0:30,7.316
10/1/2016 0:36,7.317
10/1/2016 0:42,7.277
10/1/2016 0:48,7.273
10/1/2016 0:54,7.253
10/1/2016 1:00,7.239
10/1/2016 1:06,7.202
10/1/2016 1:12,7.175
10/1/2016 1:18,7.144
10/1/2016 1:24,7.125
10/1/2016 1:30,7.105
10/1/2016 1:36,7.105
10/1/2016 1:42,7.087
10/1/2016 1:48,7.074
10/1/2016 1:54,7.034
10/1/2016 2:00,7.002
10/1/2016 2:06,6.988
10/1/2016 2:12,6.949
10/1/2016 2:18,6.922
10/1/2016 2:24,6.883
10/1/2016 2:30,6.84
10/1/2016 2:36,6.815
10/1/2016 2:42,6.765
10/1/2016 2:48,6.739
10/1/2016 2:54,6.69
10/1/2016 3:00,6.675
10/1/2016 3:06,6.648
10/1/2016 3:12,6.621
10/1/2016 3:18,6.595
10/1/2016 3:24,6.572
10/1/2016 3:30,6.549
10/1/2016 3:36,6.547
10/1/2016 3:42,6.534
10/1/2016 3:48,6.525
10/1/2016 3:54,6.493
10/1/2016 4:00,6.474
10/1/2016 4:06,6.462
10/1/2016 4:12,6.436
10/1/2016 4:18,6.419
10/1/2016 4:24,6.374
10/1/2016 4:30,6.372
10/1/2016 4:36,6.334
10/1/2016 4:42,6.328
10/1/2016 4:48,6.3
10/1/2016 4:54,6.293
10/1/2016 5:00,6.278
10/1/2016 5:06,6.247
10/1/2016 5:12,6.214
10/1/2016 5:18,6.192
10/1/2016 5:24,6.169
10/1/2016 5:30,6.164
10/1/2016 5:36,6.17
10/1/2016 5:42,6.153
10/1/2016 5:48,6.158
10/1/2016 5:54,6.115
10/1/2016 6:00,6.147
10/1/2016 6:06,6.137
10/1/2016 6:12,6.138
10/1/2016 6:18,6.155
10/1/2016 6:24,6.156
10/1/2016 6:30,6.16
10/1/2016 6:36,6.137
10/1/2016 6:42,6.157
10/1/2016 6:48,6.185
10/1/2016 6:54,6.181
10/1/2016 7:00,6.174
10/1/2016 7:06,6.18
10/1/2016 7:12,6.184
10/1/2016 7:18,6.214
